,Topic,Count,Name
0,-1,8212,-1_faire_homme_pouvoir_donner
1,0,940,0_card_naître_société_année
2,1,714,1_pouvoir_devenir_découverte_faire
3,2,627,2_science_progrès_homme_esprit
4,3,600,3_planter_plante_jardin_espèce
5,4,540,4_fil_père_fils_famille
6,5,414,5_médecin_maladie_médeciner_remède
7,6,374,6_astronome_astronomie_soleil_lune
8,7,308,7_pierre_montagne_rocher_cristaux
9,8,301,8_air_sel_gaz_alcali
10,9,290,9_euler_équation_méthode_calcul
11,10,277,10_loi_peuple_nation_homme
12,11,257,11_travail_temps_carrière_projet
13,12,231,12_prince_roi_duc_condé
14,13,201,13_chimie_chimiste_chimiquer_substance
15,14,187,14_géomètre_géométrie_calcul_problème
16,15,181,15_mémoire_souvenir_rappeler_oublier
17,16,170,16_génie_homme_gloire_ingénieur
18,17,165,17_homme_intérêt_plaisir_amour
19,18,140,18_professeur_école_collège_élève
20,19,137,19_religion_pape_clergé_protester
21,20,136,20_rayon_lumière_rayer_raire
22,21,114,21_expérience_confirmer_répéter_faire
23,22,112,22_île_vaisseau_bougainville_capitaine
24,23,109,23_ministre_ministère_gouvernement_maurepas
25,24,106,24_philosophie_philosopher_philosophe_goût
26,25,100,25_année_vie_travail_rappeler
27,26,87,26_théorie_expérience_démonstration_déduire
28,27,87,27_histoire_auteur_ouvrage_publier
29,28,78,28_anatomie_histoire_comparer_anatomiste
30,29,77,29_regret_regretter_confiance_plaisir
31,30,65,30_nature_naturaliste_bonheur_morale
32,31,62,31_moi_mois_durer_passer
33,32,60,32_comparer_observation_nombre_comparaison
34,33,58,33_voyage_voyager_pays_séjour
35,34,57,34_esprit_idée_penser_pensée
36,35,55,35_jeunesse_leçon_enfance_étude
37,36,54,36_langue_traduction_dictionnaire_ouvrage
38,37,52,37_force_forces_travail_épuiser
39,38,47,38_horloge_horlogerie_perfection_table
40,39,45,39_vérité_éloge_élection_amour
41,40,43,40_mouvement_oscillation_poids_longueur
42,41,42,41_révolution_malheur_opérer_devoir
43,42,40,42_été_ami_adresse_rire
44,43,40,43_art_dessin_peindre_dessiner
45,44,39,44_matériau_matériaux_rassembler_papier
46,45,37,45_styler_style_goût_idée
47,46,37,46_impôt_payer_peuple_nation
48,47,37,47_électricité_tonnerre_analogie_expérience
49,48,35,48_marquis_colonel_régiment_maréchal
